x,inf,une,tbi
01/04/1972,3.903091782,5.7,3.77
01/07/1972,3.864443813,5.566666667,4.22
01/10/1972,4.237118151,5.366666667,4.863333333
01/01/1973,4.084745569,4.933333333,5.7
01/04/1973,5.11825638,4.933333333,6.603333333
01/07/1973,6.01822418,4.8,8.323333333
01/10/1973,6.531221557,4.766666667,7.5
01/01/1974,7.21856508,5.133333333,7.616666667
01/04/1974,7.802916768,5.2,8.153333333
01/07/1974,8.939300278,5.633333333,8.19
01/10/1974,10.24560698,6.6,7.36
01/01/1975,10.51330879,8.266666667,5.75
01/04/1975,9.690114949,8.866666667,5.393333333
01/07/1975,8.478337755,8.466666667,6.33
01/10/1975,7.195532029,8.3,5.626666667
01/01/1976,5.984160717,7.733333333,4.916666667
01/04/1976,5.641515398,7.566666667,5.156666667
01/07/1976,5.214794765,7.733333333,5.15
01/10/1976,5.220639748,7.766666667,4.673333333
01/01/1977,5.805514885,7.5,4.63
01/04/1977,6.374820176,7.133333333,4.84
01/07/1977,6.400909379,6.9,5.496666667
01/10/1977,6.338178301,6.666666667,6.11
01/01/1978,6.365684989,6.333333333,6.393333333
01/04/1978,6.706664964,6,6.476666667
01/07/1978,7.06978015,6.033333333,7.313333333
01/10/1978,7.401496188,5.9,8.57
01/01/1979,7.639180816,5.866666667,9.383333333
01/04/1979,7.922147143,5.7,9.376666667
01/07/1979,8.187554118,5.866666667,9.673333333
01/10/1979,8.199410912,5.966666667,11.84333333
01/01/1980,8.523043262,6.3,13.35333333
01/04/1980,8.554435647,7.333333333,9.616666667
01/07/1980,8.754795082,7.666666667,9.153333333
01/10/1980,9.385755046,7.4,13.61333333
01/01/1981,9.666266809,7.433333333,14.39
01/04/1981,9.151173502,7.4,14.90666667
01/07/1981,8.847103083,7.4,15.05333333
01/10/1981,8.019872608,8.233333333,11.75
01/01/1982,6.893792794,8.833333333,12.81333333
01/04/1982,6.413358086,9.433333333,12.42
01/07/1982,5.861353679,9.9,9.316666667
01/10/1982,5.079394977,10.66666667,7.906666667
01/01/1983,4.482627437,10.36666667,8.106666667
01/04/1983,4.091919514,10.13333333,8.396666667
01/07/1983,3.561294533,9.366666667,9.14
01/10/1983,3.367910701,8.533333333,8.8
01/01/1984,3.767494714,7.866666667,9.17
01/04/1984,3.706512857,7.433333333,9.796666667
01/07/1984,3.648122949,7.433333333,10.32
01/10/1984,3.507648841,7.3,8.803333333
01/01/1985,3.370792666,7.233333333,8.183333333
01/04/1985,3.193746246,7.3,7.46
01/07/1985,2.939368323,7.2,7.106666667
01/10/1985,2.946203273,7.033333333,7.166666667
01/01/1986,2.27497963,7.033333333,6.896666667
01/04/1986,2.087196216,7.166666667,6.14
01/07/1986,2.182294248,6.966666667,5.523333333
01/10/1986,2.193507687,6.833333333,5.353333333
01/01/1987,2.694655182,6.6,5.536666667
01/04/1987,2.928447725,6.266666667,5.656666667
01/07/1987,3.026186316,6,6.043333333
01/10/1987,3.119792208,5.833333333,5.863333333
01/01/1988,2.902849599,5.7,5.723333333
01/04/1988,3.209240137,5.466666667,6.21
01/07/1988,3.658329244,5.466666667,7.01
01/10/1988,3.629481096,5.333333333,7.726666667
01/01/1989,3.983403989,5.2,8.54
01/04/1989,3.96833593,5.233333333,8.41
01/07/1989,3.517247252,5.233333333,7.843333333
01/10/1989,3.478611609,5.366666667,7.653333333
01/01/1990,3.572875399,5.3,7.76
01/04/1990,3.724054663,5.333333333,7.746666667
01/07/1990,3.962539273,5.7,7.476666667
01/10/1990,4.093594814,6.133333333,6.99
01/01/1991,4.127734335,6.6,6.023333333
01/04/1991,3.69104435,6.833333333,5.56
01/07/1991,3.379043439,6.866666667,5.376666667
01/10/1991,3.041248807,7.1,4.54
01/01/1992,2.645480497,7.366666667,3.893333333
01/04/1992,2.507172022,7.6,3.68
01/07/1992,2.187260907,7.633333333,3.083333333
01/10/1992,2.283877885,7.366666667,3.07
01/01/1993,2.35253952,7.133333333,2.96
01/04/1993,2.318038134,7.066666667,2.966666667
01/07/1993,2.448575938,6.8,3.003333333
01/10/1993,2.380683558,6.633333333,3.06
01/01/1994,2.067832547,6.566666667,3.243333333
01/04/1994,1.994262874,6.2,3.986666667
01/07/1994,2.130754976,6,4.476666667
01/10/1994,2.036304893,5.633333333,5.28
01/01/1995,2.251950091,5.466666667,5.736666667
01/04/1995,2.211062282,5.666666667,5.596666667
01/07/1995,2.076128013,5.666666667,5.366666667
01/10/1995,2.096941766,5.566666667,5.26
01/01/1996,1.981268771,5.533333333,4.93
01/04/1996,1.902891426,5.5,5.02
01/07/1996,1.934179366,5.266666667,5.096666667
01/10/1996,1.845403889,5.333333333,4.976666667
01/01/1997,1.952642235,5.233333333,5.06
01/04/1997,2.063974836,5,5.046666667
01/07/1997,1.868104734,4.866666667,5.046666667
01/10/1997,1.83148089,4.666666667,5.09
01/01/1998,1.371763623,4.633333333,5.053333333
01/04/1998,1.171659566,4.4,4.976666667
01/07/1998,1.226292739,4.533333333,4.823333333
01/10/1998,1.135107992,4.433333333,4.253333333
01/01/1999,1.295580338,4.3,4.406666667
01/04/1999,1.378534387,4.266666667,4.453333333
01/07/1999,1.373766741,4.233333333,4.65
01/10/1999,1.550715482,4.066666667,5.043333333
01/01/2000,2.044283218,4.033333333,5.52
01/04/2000,2.23430671,3.933333333,5.713333333
01/07/2000,2.357265476,4,6.016666667
01/10/2000,2.346864493,3.9,6.016666667
01/01/2001,2.23368989,4.233333333,4.816666667
01/04/2001,2.231264162,4.4,3.66
01/07/2001,2.293868714,4.833333333,3.17
